Trial_ID,Sim_Time,Dev_EUI,Node_ID,F_Cnt,Msgs_Window,Target,Server_Sat,Net_Status_Flag,Node_State,Node_Action,Node_Period,Active_Nodes
1,1633.42,70b3d57ed007386c,7,25,30,30,100.0,0,3,REWARD,60,6
1,1634.26,70b3d57ed00733ea,2,15,31,30,98.42,1,3,REWARD,60,6
1,1644.15,70b3d57ed007334e,1,18,30,30,100.0,0,3,REWARD,60,6
1,1664.0,70b3d57ed0073859,4,12,31,30,98.42,1,2,REWARD,60,6
1,1679.97,70b3d57ed0073864,5,22,30,30,100.0,0,3,REWARD,60,6
1,1685.48,70b3d57ed007386a,6,25,30,30,100.0,0,3,REWARD,60,6
1,1693.44,70b3d57ed007386c,7,26,31,30,98.42,1,3,REWARD,60,6
1,1694.26,70b3d57ed00733ea,2,16,30,30,100.0,0,3,REWARD,60,6
1,1704.14,70b3d57ed007334e,1,19,30,30,100.0,0,3,REWARD,60,6
1,1723.83,70b3d57ed0073859,4,13,31,30,98.42,1,2,REWARD,60,6
1,1739.74,70b3d57ed0073864,5,24,30,30,100.0,0,3,REWARD,60,6
1,1745.34,70b3d57ed007386a,6,26,30,30,100.0,0,3,PUNISH,60,6
1,1753.67,70b3d57ed007386c,7,27,30,30,100.0,0,3,REWARD,60,6
1,1754.34,70b3d57ed00733ea,2,17,30,30,100.0,0,3,REWARD,60,6
1,1764.04,70b3d57ed007334e,1,21,31,30,98.42,1,3,REWARD,60,6
1,1783.65,70b3d57ed0073859,4,14,31,30,98.42,1,2,REWARD,60,6
1,1799.83,70b3d57ed0073864,5,25,31,30,98.42,1,3,PUNISH,60,6
1,1805.49,70b3d57ed007386a,6,27,30,30,100.0,0,3,REWARD,60,6
1,1813.67,70b3d57ed007386c,7,29,30,30,100.0,0,3,REWARD,60,6
1,1814.33,70b3d57ed00733ea,2,18,31,30,98.42,1,3,REWARD,60,6
1,1823.91,70b3d57ed007334e,1,22,30,30,100.0,0,3,REWARD,60,6
1,1843.34,70b3d57ed0073859,4,16,31,30,98.42,1,2,REWARD,60,6
1,1859.76,70b3d57ed0073864,5,26,30,30,100.0,0,3,REWARD,60,6
1,1865.35,70b3d57ed007386a,6,28,31,30,98.42,1,3,REWARD,60,6
1,1873.45,70b3d57ed007386c,7,30,30,30,100.0,0,3,REWARD,60,6
1,1874.27,70b3d57ed00733ea,2,20,30,30,100.0,0,3,REWARD,60,6
1,1883.93,70b3d57ed007334e,1,23,31,30,98.42,1,3,REWARD,60,6
